query,intent,best_similarity,retrieved_customer,retrieved_response
"@AppleSupport @115858 #ios1102 Problems: draining battery like hell, Constantly Iphone and keyboard freezing, APPS crashing... etc ... HELP!",4,0.32741312911198667,@AppleSupport man ios11.0.2 is still draining battery like hell,@186228 We'd be happy to look into what's going on. Which device are you using?
@AppleSupport I updated to iOS 11.1.1 and I’m still seeing the “I” glitch with the question mark on social media such as Facebook and Twitter apps.,2,0.3433807478318023,@AppleSupport On social media,"@679447 Understood. If this is only happening when viewing posts on social media, this would be isolated to that user's device."
"Everyone told me to switch to @115858 that I️ won’t regret leaving Galaxy. Less than a month w/ 8+, there’s glitches with just typing “I️”",2,0.18444388625030156,@115858 time to switch to @1647,@314089 Thanks for reaching out. DM us more info about your experience and we'll get you to the right spot. https://t.co/GDrqU22YpT
"@AppleSupport Is this normal? My #iPhone 6 on latest #ios11 (11.1.2) just went 40% to dead w/in 1 min, w/o warning. And as soon as I start charging, it woke up w/ 14% charged &amp; 30% charged in 5 mins. As loyal customer/shareholder, I expect better. #ownup Something ain’t right. https://t.co/SLGCyPIq31",4,0.20669796418780292,@AppleSupport Is this normal?,"@432735 For questions related to your preorder and the status, reach out to our Online Sales Support at  https://t.co/8yjRd1Xo0i"
@AppleSupport Hello. I believe I’ve been sent a fake e-mail by someone posing as Apple saying my account will be closed. Odd. Can you help?,9,0.36100465449016506,"Email posing as Apple. 😒

@AppleSupport https://t.co/LFrZOaWQd5",@218002 Great catch. Thanks for reaching out. Learn how to report phishing emails to Apple here: https://t.co/LNMCdqt6fD
@AppleSupport I did my new update now my phone randomly locks and resets itself. Will there be a new update to fix this?,2,0.34368050972646264,@AppleSupport Will there be an update to fix this? I️,@518829 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
@AppleSupport I need help urgently as I’ve Mahabad to purchase and year sucricprition and didn’t mean to,7,0.39231895306622855,@AppleSupport I need support with a purchased I didn't mean to make.,"@522074 We'll be happy to help. If it was in the last 90 days, you can report it here: https://t.co/hHn5H4NEsj"
@AppleSupport why did my purchased season of modern family change from being able to watch it to having to watch it if some app of Apple TV?,7,0.24150794033390793,"@AppleSupport I paid for a season of rake, downloaded it to my iPad &amp; now I can’t watch it? Unless I connect to store? Is that right ?",@349069 We'd love to help. Which iOS version are you using? What steps are you taking to watch the episodes?
@AppleSupport Why is my phone autocorrecting the word it to spell i.t ?,1,0.7804975833511789,@AppleSupport why is my phone autocorrecting the word I.t,@267549 Thanks for reaching out. We'd be happy to look into this with you. Can you provide us which iOS version you're using?
@AppleSupport what do I do if I think my account has been hacked,9,0.4921612170112419,@AppleSupport what do i do,@178792 We're here for you! It looks like your iPad is disabled. Follow the steps here for help: https://t.co/qC0p25l5ee
"@AppleSupport then is there every time I open my phone from then on..with no text. Restarting gets it to go away, but it still happens next time. (6+) 2/2",2,0.22310575991159254,@115858 @AppleSupport What’s with Apple Maps trying to get me to go to @910? I don’t want to go there. Every time I open Maps it does this. https://t.co/D3uNXELCZ8,@184693 Hi there. Let's check a few things together to learn what's prompting this each time you open Maps. Please meet us in a DM: https://t.co/GDrqU22YpT
