text_customer,text_apple,intent
"@AppleSupport @115858 #ios1102 Problems: draining battery like hell, Constantly Iphone and keyboard freezing, APPS crashing... etc ... HELP!","@186229 We'll help out. To concentrate on one issue at a time, check these battery tips as a first step. https://t.co/bivpdfBNJ6",4
@AppleSupport I updated to iOS 11.1.1 and I’m still seeing the “I” glitch with the question mark on social media such as Facebook and Twitter apps.,@667309 Thanks for making sure your iPhone has the latest software. We want to make sure we provide you the next best solution. Please meet us in DM so we can provide you a few additional steps. https://t.co/GDrqU22YpT,2
"Everyone told me to switch to @115858 that I️ won’t regret leaving Galaxy. Less than a month w/ 8+, there’s glitches with just typing “I️”",@599689 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,2
"@AppleSupport Is this normal? My #iPhone 6 on latest #ios11 (11.1.2) just went 40% to dead w/in 1 min, w/o warning. And as soon as I start charging, it woke up w/ 14% charged &amp; 30% charged in 5 mins. As loyal customer/shareholder, I expect better. #ownup Something ain’t right. https://t.co/SLGCyPIq31","@151807 Thanks for reaching back out to us. Send us over a DM, and we'll work together there. https://t.co/GDrqU22YpT",4
@AppleSupport Hello. I believe I’ve been sent a fake e-mail by someone posing as Apple saying my account will be closed. Odd. Can you help?,@136047 Hey there! This article should help: https://t.co/LNMCdqt6fD Join us in DM if you would like additional help! We're here for you https://t.co/GDrqU22YpT,9
@AppleSupport I did my new update now my phone randomly locks and resets itself. Will there be a new update to fix this?,@184723 That's not the experience we want you to have. DM us using the link below. We'll work from there. https://t.co/GDrqU22YpT,2
@AppleSupport I need help urgently as I’ve Mahabad to purchase and year sucricprition and didn’t mean to,@402726 Hello! We've received your DM and will proceed from there.,7
@AppleSupport why did my purchased season of modern family change from being able to watch it to having to watch it if some app of Apple TV?,"@430153 We've received your DM, and we'll continue with you there. Be on the lookout for a reply.",7
@AppleSupport Why is my phone autocorrecting the word it to spell i.t ?,@476695 Thanks for reaching out! Check out this article for information on managing autocorrect: https://t.co/U5VKSTl2CD,1
@AppleSupport what do I do if I think my account has been hacked,@536433 Your security is important to us.  Please send us a DM and we'll get you pointed in the right direction to secure your account. https://t.co/GDrqU22YpT,9
"@AppleSupport then is there every time I open my phone from then on..with no text. Restarting gets it to go away, but it still happens next time. (6+) 2/2",@275617 We've just released iOS 11.1. Let's get you updated and test again. This article explains how: https://t.co/80YRnjDFDk,2
@AppleSupport But I have enough availabe storage space and full wi-fi network. Also already tried to remove and download the ios again,@728452 Are you able to try the update via iTunes on a computer as described here?: https://t.co/80YRnjDFDk,2
@AppleSupport Yes exactly i tried 3-4 times but didnt worked,@321939 Have you tried more than one cord?  Are you charging via an outlet or plugged into a computer?,3
@245882 @AppleSupport Same here!!,"@246295 We want to help. First, we'd suggest following the steps here to resolve the issue: https://t.co/osZOKKTalm If you need further assistance, let us know.",1
@AppleSupport iOS 11.0.2 keeps crashing! 👍🏻,"@297850 We're here to help. Can you please message us in DM, with more details? https://t.co/GDrqU22YpT",2
This is what I've been seeing.. is it cause I haven't updated or cause others have? HALLLPPP @115858. https://t.co/qWdxOKkicX,@490678 Thanks for reaching out! We've got your back. Try these steps and let us know how it goes: https://t.co/xU1AGHStV6,2
My Apple Music has been messing up since the new update! Cannot think of a worse possible outcome. Not the music @115858,"@668731 What's happening specifically with Apple Music? We'd love to know the details via DM to see how we can help. When you reach out, be sure to let us know what type of device you're using. https://t.co/GDrqU22YpT",6
@115858 Where can I report a major issue with your phones predictive text?,@259835 Please tell us more about what you're experiencing. We're here to help.,1
"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",@335864 Hi there. We can definitely look into this further with you. Which macOS are you running currently? DM us and let us know. https://t.co/GDrqU22YpT,1
"@AppleSupport Itunes 12.7.1.14, there’s no unpdate option for me",@271148 Thanks for that info! That's up-to-date for sure. Can you tell us if this is with a particular podcast or with all? Are you missing ones that were there before or not able to download new ones? Check out this article as well: https://t.co/yie6qPpplH,7
"Instead of extra characters in #twitter, can @AppleSupport fix this damn I️ bug on iPhones 📱 first??? 🤔",@533281 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
@180336 @AppleSupport The battery not holding the charge is the worst. Do something @AppleSupport,@595590 We'd like to better understand what's happening to see how we can help. Are we correct in saying your device doesn't charge? DM us: https://t.co/GDrqU22YpT,4
@AppleSupport I had a purchase. Apparently it was initially purchased on October 28 and now I was charged 100 today for it.  It was not authorized and I’m concerned someone has my idea,"@820677 We wouldn't want you to be charged for something you didn't authorize, and want to get you to the right place for help with this. Reach out to our iTunes Store team here: https://t.co/SDIe7UiyJN They'd be happy to look into this further for you.",7
@AppleSupport I’m updated to 11.0.3 too,@297538 We'd be happy to look into this with you further. DM us and we'll go from there. https://t.co/GDrqU22YpT,2
@115858 my screen recording isn’t working it just has a countdown then it stops please help me and contact me when you can.,"@760587 We definitely want to work out any issues you have with the screen recording feature. Send us your current iOS version in DM, and we’ll take a look at this together. https://t.co/GDrqU22YpT",1
"Since this updated ios from @AppleSupport my phone doesnt work correctly!! Apps keep crashing, screen touch not correct + more! #nomoreapple",@281267 We'd like to work with you. Let's continue our conversation in DM. https://t.co/GDrqU22YpT,2
"@AppleSupport my ipad camera has had a black screen for a while, where are some places I could have it checked/fixed if anything wrong?",@572134 Thanks for reaching out to us for support. We’d love to help you. Please DM us so that we can troubleshoot together. https://t.co/GDrqU22YpT,11
@AppleSupport The iPhone 6 Plus. Can we arrange a call?,"@775992 Thanks for clarifying this for us. If you'd prefer to work with our telephone support, you're welcome to reach out to us here:  https://t.co/IBIY3vMgPj",11
@AppleSupport i keep getting this error message when i wanted to make a purchase . Help ! https://t.co/VL1vBh48HA,"@776011 We'll get you to the right place to get some help. Check out this link:
https://t.co/LGiyy7sjW4
If that doesn't seem to be helpful, you'll want to reach out to our team at the iTunes Store. Find out how here:
https://t.co/SDIe7UiyJN",7
@AppleSupport @115858 you are providing very bad service to customer and moreover don’t even bother to reply on emails. Customer issues aren’t ur concern,@638196 We certainly want to get to the bottom of this with you. Please DM us details about your concerns to continue. https://t.co/GDrqU22YpT,11
