customer_message,predicted_intent,reply,groundedness,helpfulness,professionalism,overall_quality,groundedness_human,helpfulness_human,professionalism_human,overall_quality_human
"@AppleSupport @115858 #ios1102 Problems: draining battery like hell, Constantly Iphone and keyboard freezing, APPS crashing... etc ... HELP!",battery_issue,"@186229 We’ll help out. To concentrate on the battery issue, check these tips first: https://t.co/bivpdfBNJ6",5,3,4,4,5,3,4,3
"Everyone told me to switch to @115858 that I️ won’t regret leaving Galaxy. Less than a month w/ 8+, there’s glitches with just typing “I️”",ios_update_issue,@115858 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,5,5,4,4,4,2,3,2
"@AppleSupport Is this normal? My #iPhone 6 on latest #ios11 (11.1.2) just went 40% to dead w/in 1 min, w/o warning. And as soon as I start charging, it woke up w/ 14% charged &amp; 30% charged in 5 mins. As loyal customer/shareholder, I expect better. #ownup Something ain’t right. https://t.co/SLGCyPIq31",battery_issue,@151807 Thanks for reaching back out to us. Send us a DM and we’ll work together there. https://t.co/GDrqU22YpT,5,1,4,2,5,3,4,4
@AppleSupport Hello. I believe I’ve been sent a fake e-mail by someone posing as Apple saying my account will be closed. Odd. Can you help?,icloud_data_issue,@AppleSupport Thanks for reaching out. Here’s how to report phishing emails to Apple: https://t.co/LNMCdqt6fD,5,4,4,4,5,4,4,4
@AppleSupport I did my new update now my phone randomly locks and resets itself. Will there be a new update to fix this?,ios_update_issue,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,5,4,4,4,5,4,4,4
@AppleSupport I need help urgently as I’ve Mahabad to purchase and year sucricprition and didn’t mean to,app_store_purchase_issue,"@578213 Hello! We’ve received your DM and will review the accidental purchase. If it was made within the last 90 days, you can report it here: https://t.co/hHn5H4NEsj. We’ll work with you to resolve it.",4,4,4,4,4,4,5,4
@AppleSupport what do I do if I think my account has been hacked,icloud_data_issue,Your security is important to us. Please send us a DM and we’ll get you pointed in the right direction to secure your account. https://t.co/GDrqU22YpT,5,2,4,3,4,3,4,3
"@AppleSupport then is there every time I open my phone from then on..with no text. Restarting gets it to go away, but it still happens next time. (6+) 2/2",ios_update_issue,We've just released iOS 11.1. Let's get you updated and test again. This article explains how: https://t.co/80YRnjDFDk,5,4,4,4,5,4,4,4
@AppleSupport But I have enough availabe storage space and full wi-fi network. Also already tried to remove and download the ios again,ios_update_issue,"Sure, have you tried updating via iTunes on a computer? You can follow the steps here: https://t.co/80YRnjDFDk",5,4,4,4,4,4,4,4
@AppleSupport Yes exactly i tried 3-4 times but didnt worked,device_issue,"@AppleSupport It sounds like the issue persists. Have you tried a different charging cable and a wall outlet (instead of a computer port)? Also, could you let us know the model of your device so we can tailor the troubleshooting steps?",4,4,5,4,2,2,4,2
@245882 @AppleSupport Same here!!,app_issue,@245882 Let's get this figured out. Have you tried any troubleshooting steps such as restarting since this started happening?,5,4,5,5,2,2,4,2
This is what I've been seeing.. is it cause I haven't updated or cause others have? HALLLPPP @115858. https://t.co/qWdxOKkicX,ios_update_issue,@115858 Thanks for reaching out! This can be related to an iOS update. Please try updating your device to the latest iOS version and follow these steps: https://t.co/xU1AGHStV6 Let us know how it goes.,4,4,5,4,4,4,4,4
My Apple Music has been messing up since the new update! Cannot think of a worse possible outcome. Not the music @115858,apple_music_issue,@115858 What's happening specifically with Apple Music? Let us know what device you're using so we can help further. https://t.co/GDrqU22YpT,5,4,4,4,5,4,4,4
"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_issue,Hi! We can definitely look into this further. Which macOS version are you running? DM us and let us know. https://t.co/GDrqU22YpT,5,3,5,3,5,4,5,4
"@AppleSupport Itunes 12.7.1.14, there’s no unpdate option for me",app_store_purchase_issue,@AppleSupport Thanks for letting us know. It looks like you’re already on the latest iTunes version. Is the problem happening with all content or just specific podcasts? Let us know if you’re missing previously available items or unable to download new ones. Here’s an article that might help: https://t.co/yie6qPpplH,5,5,5,5,2,2,4,2
"Instead of extra characters in #twitter, can @AppleSupport fix this damn I️ bug on iPhones 📱 first??? 🤔",ios_update_issue,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,5,4,4,4,5,4,4,4
@AppleSupport I had a purchase. Apparently it was initially purchased on October 28 and now I was charged 100 today for it.  It was not authorized and I’m concerned someone has my idea,app_store_purchase_issue,"@AppleSupport We wouldn't want you to be charged for something you didn't authorize, and want to get you to the right place for help with this. Reach out to our iTunes Store team here: https://t.co/SDIe7UiyJN They'd be happy to look into this further for you.",5,4,4,4,5,4,4,4
@AppleSupport I’m updated to 11.0.3 too,ios_update_issue,"Great! First, let’s see if this article helps with the issue you’re experiencing: https://t.co/GDrqU22YpT",5,4,4,4,2,2,4,2
@115858 my screen recording isn’t working it just has a countdown then it stops please help me and contact me when you can.,app_issue,"@115858 We definitely want to work out any issues you have with the screen recording feature. Send us your current iOS version in DM, and we’ll take a look at this together. https://t.co/GDrqU22YpT",5,4,5,4,5,4,5,4
"@AppleSupport my ipad camera has had a black screen for a while, where are some places I could have it checked/fixed if anything wrong?",support_repair_issue,@Customer Thanks for reaching out to us for support. We’d love to help you. Please DM us so that we can troubleshoot together. https://t.co/GDrqU22YpT,5,3,4,3,5,3,4,3
@AppleSupport The iPhone 6 Plus. Can we arrange a call?,support_repair_issue,"Thanks for clarifying this for us. If you'd prefer to work with our telephone support, you're welcome to reach out to us here: https://t.co/IBIY3vMgPj",5,5,5,5,5,5,5,5
@AppleSupport i keep getting this error message when i wanted to make a purchase . Help ! https://t.co/VL1vBh48HA,app_store_purchase_issue,"We’ll get you to the right place to get help. Check out this link: https://t.co/LGiyy7sjW4  
If that doesn’t seem to be helpful, you’ll want to reach out to our team at the iTunes Store. Find out how here: https://t.co/SDIe7UiyJN",5,4,4,4,5,4,4,4
@AppleSupport @115858 you are providing very bad service to customer and moreover don’t even bother to reply on emails. Customer issues aren’t ur concern,support_repair_issue,We’re sorry you’re having a frustrating experience. Please DM us more details about your concern so we can help you further. https://t.co/GDrqU22YpT,5,2,4,3,5,4,4,4
